ticker,portfolio_aware_recommendation,clean_sheet_recommendation,llm_recommendation,branch_classification,recommendation_agreement,score_dispersion,portfolio_aware_rank,clean_sheet_rank,llm_score,disagreement_flag,final_review_required,target_weight_portfolio_aware,clean_sheet_target_weight,passes_hard_filters,dividend_safety_score,cash_flow_quality_score,balance_sheet_strength_score,final_recommendation_score,risk_management_flags,final_recommendation,final_target_weight,confidence_adjustment,baseline_weight,raw_drl_weight,projected_drl_weight,accepted_target_weight,acceptance_selected_weights_source,drl_challenger_status,final_selected_weights_source,drl_rejection_reasons,final_selected_weight,target_weight,security_id,issuer_id,company_name,country,region,sector,industry,currency,average_daily_value_usd,market_cap_usd,dividend_yield,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,regime_suitability_score,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,price_data_quality_score,price_data_exclusion_flag,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,portfolio_method,final_weight
CS.PA,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,4.1924523574199535,286,75,58.62066243478155,True,True,0.05,0.0,True,73.16731654391009,82.31683370296496,42.50713266761769,60.03674001112383,alt_data_review;narrative_review;,Hold,0.0,Review required or no LLM support,0.05000000000000002,0.045235410980289444,0.044986896923504,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,CS.PA,NAME:axasa,AXA SA,France,EU ex-DACH,Financials,Insurance - Diversified,EUR,170088409.6330641,104711054647.36105,0.0519,0.35,0.0519,0.18107390867422485,-0.12021169245149443,0.35,0.7502291384563102,0.02259677649858305,-0.040779091537395645,-0.040779091537395645,0.28694327539402376,0.2899870030647445,79.67061499864242,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
ESSITY-B.ST,Hold,Hold,Hold,Reject,1.0,4.173750882712482,602,85,53.764860523096544,False,False,0.0,0.0,True,58.71575310646699,53.87804100924861,74.02029816529256,59.00150107958138,narrative_review;,Watchlist,0.0,Review required or no LLM support,0.05000000000000002,0.041296252226163746,0.04317972062490259,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,ESSITY-B.ST,NAME:essityabpubl,Essity AB (publ),Sweden,EU ex-DACH,Consumer Staples,Household & Personal Products,SEK,39872604.4658575,19620400402.730167,0.031,0.35,0.031,0.1838830498208879,-0.12572886254420113,0.35,0.755816441400774,0.017684779904204473,-0.04667428753310629,-0.04667428753310629,0.2675130962848147,0.2927992705720121,49.929971504524495,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
HEN3.XETRA,Hold,Hold,Hold,Reject,1.0,4.046904944617439,652,38,55.629896754932915,False,False,0.0,0.0,True,62.877277394035715,60.0827527356216,90.4119942316697,60.75371697323173,narrative_review;ml_drawdown_risk;,Watchlist,0.0,Review required or no LLM support,0.05000000000000002,0.04187025537128616,0.043750367856881446,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,HEN3.XETRA,NAME:henkelagcokgaavzprefshares,Henkel AG & Co. KGaA vz. (Pref Shares),Germany,DACH,Consumer Staples,Household & Personal Products,EUR,39388221.14124925,36711967245.75933,0.027000000000000003,0.35,0.027000000000000003,0.19525735981731993,-0.15450859262271843,0.35,0.7808672356519826,-0.0027896406814518215,-0.07112971661751379,-0.07112971661751379,0.23995754072925912,0.30235742687907896,55.2203138496814,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
LI.PA,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,6.682838480149274,397,37,52.975922031923574,True,True,0.04338322716295455,0.0,True,72.69936148917779,78.0352565749876,32.14971769107533,59.69041525141806,narrative_review;,Hold,0.0,Review required or no LLM support,0.05000000000000002,0.043848602260732165,0.04571714833051368,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,LI.PA,NAME:klepierresa,Klepierre SA,France,EU ex-DACH,Real Estate,REIT - Retail,EUR,29093021.06378373,12957099035.098711,0.0475,0.35,0.0475,0.164107642322359,-0.07912621932769431,0.35,0.7136312944890961,0.05297769605193542,-0.004459978760890229,-0.004459978760890229,0.3491810621174677,0.2736877567500407,60.82280790494974,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
MCD.US,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,6.136449990470038,120,40,57.27232110643416,True,True,0.046595657224472634,0.0,True,55.524591103343596,68.55941173676334,52.20132849617452,63.9088490346246,narrative_review;,Hold,0.0,Review required or no LLM support,0.05000000000000002,0.04320276386263197,0.045075085829610936,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,MCD.US,NAME:mcdonaldscorporation,McDonald’s Corporation,United States,US,Consumer Discretionary,Restaurants,USD,1293195713.32,196284350464.0,0.027200000000000002,0.35,0.027200000000000002,0.1810170697391202,-0.11446491819062948,0.35,0.7480909235206754,0.02322654480906855,-0.040129429599623526,-0.040129429599623526,0.24968089086778844,0.2876779867223422,61.823050538096076,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
NOVN.SW,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,1.529162611826351,313,27,63.204937810074824,True,True,0.0469469778822957,0.0,True,55.870433471050134,75.09767770175114,77.35803892340972,65.16045127685616,narrative_review;,Hold,0.0,Review required or no LLM support,0.05000000000000002,0.04349363807251227,0.04536425944202179,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,NOVN.SW,NAME:novartisag,Novartis AG,Switzerland,DACH,Healthcare,Drug Manufacturers - General,CHF,415891681.52164596,293874366051.8231,0.0297,0.35,0.0297,0.19313732903127911,-0.14363956014270118,0.35,0.7748527166852137,0.001690219972085072,-0.06590784518886261,-0.06590784518886261,0.2571975407292591,0.2724775240250243,63.81642061643673,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
PG.US,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,3.2079571169001144,273,28,60.561114312796335,True,True,0.04769719662213645,0.0,True,54.557616656445575,67.94358561974859,83.07373898557907,64.60684292834337,narrative_review;,Hold,0.0,Review required or no LLM support,0.05000000000000002,0.04326004809193616,0.04513203514613873,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,PG.US,NAME:proctergamblecompany,Procter & Gamble Company,United States,US,Consumer Staples,Household & Personal Products,USD,1304269098.3,341621932032.0,0.0297,0.35,0.0297,0.1963597563700154,-0.14774159554243493,0.35,0.7805401403780918,-0.0037349335810503703,-0.07246084831055576,-0.07246084831055576,0.2269575407292591,0.2724777232989194,64.25208451734511,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
SBRY.LSE,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,6.629508312494521,369,114,52.238572115691646,True,True,0.05,0.0,True,67.46217883180803,60.602073605608986,43.902812214380724,61.16300249012455,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,Hold,0.0,Review required or no LLM support,0.05000000000000002,0.042175958844906575,0.044054284033714836,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,SBRY.LSE,NAME:jsainsburyplc,J Sainsbury PLC,United Kingdom,UK,Consumer Staples,Grocery Stores,GBX,56418816.4390127,10225285640.493116,0.0385,0.35,0.0385,0.21272673759010768,-0.21913915445651933,0.35,0.8270962339748145,-0.03612103690028595,-0.11057539505682364,-0.11057539505682364,0.3389290309000277,0.30952566560129113,68.54400224876477,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
SHEL.US,Buy,Buy,Hold,Reject,0.6666666666666666,3.6442446892508173,12,3,66.20693042806394,True,True,0.05,0.05,True,74.63144090020515,72.57267472726399,69.22999347406474,64,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,Hold,0.0,Review required or no LLM support,0.05000000000000002,0.044508904028736966,0.04637358964043115,0.05000000000000002,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05000000000000002,0.05000000000000002,SHEL.US,NAME:shellplcadr,Shell PLC ADR,United States,US,Energy,Oil & Gas Integrated,USD,620939468.8,247694376960.0,0.0356,0.35,0.0356,0.21985817556694173,-0.21597546345693808,0.35,0.8356037494092583,-0.04680805191541676,-0.12375841336384637,-0.12375841336384637,0.2269575407292591,0.2953200364185854,81.0568103065126,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05000000000000002
ORA.PA,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,3.2261720782558165,318,41,59.72601060916077,True,True,0.047396759471062214,0.0,True,64.23281862378607,69.29549448180433,76.95125373147171,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold,0.0,Review required or no LLM support,0.049999999999999725,0.042418009981831616,0.04429492001681856,0.049999999999999725,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.049999999999999725,0.049999999999999725,ORA.PA,NAME:orangesa,Orange S.A.,France,EU ex-DACH,Communication Services,Telecom Services,EUR,84265599.93620488,49246074407.90148,0.0472,0.35,0.0472,0.22311885924139865,-0.23537474548143056,0.35,0.8468299267945407,-0.053718238358207604,-0.1318098390926971,-0.1318098390926971,0.28098065780606746,0.3009231489661977,64.3145820960712,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999725
