security_id,ticker,sector,country,region,currency,regime_suitability_score,crisis_suitability_score,inflation_suitability_score,steady_state_suitability_score,walking_on_ice_suitability_score,europe_recession_suitability_score,china_policy_stress_suitability_score,uk_rate_pressure_suitability_score,credit_stress_suitability_score,regime_weight_adjustment,regime_review_required_flag,regime_exclusion_flag,dominant_regime,regime_risk_score,regime_deterioration_probability,regime_commentary
WOLF011,WLF011,Industrials,Netherlands,EU ex-DACH,EUR,55.68400377387783,39.53926326166799,57.74116532794573,55.68400377387783,55.98317107461746,24.53926326166799,49.53926326166799,49.53926326166799,47.5698269831486,0.005684003773877833,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF012,WLF012,Technology,United Kingdom,UK,GBP,63.799277896788794,69.27616811986968,41.2052553364491,63.799277896788794,71.25453547608535,79.27616811986968,79.27616811986968,79.27616811986968,95.9277298600577,0.013799277896788795,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF013,WLF013,Healthcare,China,Mainland China,CNY,48.141163175426854,61.27281892979265,44.83270237591632,48.141163175426854,45.29226020836335,61.27281892979265,34.606152263125985,46.27281892979265,70.90476415680857,-0.0018588368245731459,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF014,WLF014,Consumer Staples,Hong Kong,Hong Kong,HKD,45.46229031156579,79.88286210259247,42.88598807052167,45.46229031156579,68.1549474141533,79.88286210259247,53.216195435925805,64.88286210259247,85.23203585774016,-0.004537709688434212,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF015,WLF015,Utilities,Germany,DACH,EUR,61.682278462398344,68.2174494446935,41.50986959059943,61.682278462398344,56.34324093195073,68.2174494446935,53.21744944469349,53.21744944469349,70.53916254401224,0.011682278462398344,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF016,WLF016,Financials,Switzerland,DACH,CHF,42.724117076045125,59.260905318595974,59.48772645475421,42.724117076045125,54.185219880142945,69.26090531859597,69.26090531859597,69.26090531859597,71.13390351905524,-0.007275882923954874,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF017,WLF017,Industrials,France,EU ex-DACH,EUR,64.17574084170795,41.521179464902964,54.55041219701633,64.17574084170795,58.88402978789257,26.521179464902964,51.521179464902964,51.521179464902964,42.53208629833889,0.014175740841707949,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF018,WLF018,Technology,Netherlands,EU ex-DACH,EUR,50.120058050078256,32.93301783962112,43.3532144705176,50.120058050078256,49.48180587617796,17.933017839621122,42.93301783962112,42.93301783962112,64.31008967475985,0.00012005805007825642,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF019,WLF019,Healthcare,United Kingdom,UK,GBP,70.48802504979376,75.48892454717466,36.687954273512446,70.48802504979376,59.610654993538056,75.48892454717466,60.48892454717466,60.48892454717466,67.20242394890204,0.020488025049793763,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF020,WLF020,Consumer Staples,China,Mainland China,CNY,53.24116690446055,62.669670343891724,37.97359874546753,53.24116690446055,53.42124756630402,62.669670343891724,36.00300367722506,47.669670343891724,57.21158758392028,0.0032411669044605487,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF021,WLF021,Utilities,Hong Kong,Hong Kong,HKD,64.56469030290671,80.30130972664551,37.24914998647406,64.56469030290671,71.78460788196367,80.30130972664551,53.63464305997885,65.30130972664551,73.24943969688846,0.014564690302906712,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF022,WLF022,Financials,Germany,DACH,EUR,54.1106524215729,44.35469360195663,53.41256091988075,54.1106524215729,56.34092030881274,54.35469360195663,54.35469360195663,54.35469360195663,42.86232762569428,0.004110652421572901,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF023,WLF023,Industrials,Switzerland,DACH,CHF,42.423866820331504,53.306325036634675,64.90832492687407,42.423866820331504,54.80987896771815,38.306325036634675,63.306325036634675,63.306325036634675,77.10463987575764,-0.007576133179668496,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF024,WLF024,Technology,France,EU ex-DACH,EUR,57.17296925897317,36.11301486862,43.13232254078202,57.17296925897317,49.852404367849374,21.11301486862,46.11301486862,46.11301486862,67.00412445834046,0.007172969258973169,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
