ticker,feature_group,attribution_score,rank,attribution_description
WLF022,volatility,0.0007823305733751656,8,volatility had high attribution in the model allocation for WLF022.
WLF022,temporal returns,0.0005330336099447308,9,temporal returns had high attribution in the model allocation for WLF022.
WLF022,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF022.
WLF022,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF022.
WLF022,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF022.
WLF019,liquidity,3.469481646423134e-11,1,liquidity had high attribution in the model allocation for WLF019.
WLF019,fundamentals,1.0255431949199877e-15,2,fundamentals had high attribution in the model allocation for WLF019.
WLF019,regime,4.891089273164739e-16,3,regime had high attribution in the model allocation for WLF019.
WLF019,narrative,4.698603518074632e-16,4,narrative had high attribution in the model allocation for WLF019.
WLF019,dividend quality,4.0655905626621377e-16,5,dividend quality had high attribution in the model allocation for WLF019.
WLF019,portfolio state,1.3981871216373067e-16,6,portfolio state had high attribution in the model allocation for WLF019.
WLF019,temporal returns,1.7945266883261277e-17,7,temporal returns had high attribution in the model allocation for WLF019.
WLF019,distributional forecast,9.588425895762194e-18,8,distributional forecast had high attribution in the model allocation for WLF019.
WLF019,volatility,8.325252010525246e-18,9,volatility had high attribution in the model allocation for WLF019.
WLF019,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF019.
WLF019,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF019.
WLF019,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF019.
WLF018,liquidity,453.28792353682377,1,liquidity had high attribution in the model allocation for WLF018.
WLF018,fundamentals,0.05903641292609686,2,fundamentals had high attribution in the model allocation for WLF018.
WLF018,narrative,0.03258120518248663,3,narrative had high attribution in the model allocation for WLF018.
WLF018,dividend quality,0.020854419727527326,4,dividend quality had high attribution in the model allocation for WLF018.
WLF018,regime,0.01817487188413319,5,regime had high attribution in the model allocation for WLF018.
WLF018,portfolio state,0.007306928258131018,6,portfolio state had high attribution in the model allocation for WLF018.
WLF018,distributional forecast,0.0007149573150344805,7,distributional forecast had high attribution in the model allocation for WLF018.
WLF018,volatility,0.0005427173172981632,8,volatility had high attribution in the model allocation for WLF018.
WLF018,temporal returns,0.0005311207820981213,9,temporal returns had high attribution in the model allocation for WLF018.
WLF018,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF018.
WLF018,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF018.
WLF018,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF018.
WLF012,liquidity,6292.349211003496,1,liquidity had high attribution in the model allocation for WLF012.
WLF012,fundamentals,0.10256426183416212,2,fundamentals had high attribution in the model allocation for WLF012.
WLF012,narrative,0.06461119493447341,3,narrative had high attribution in the model allocation for WLF012.
WLF012,regime,0.04587923674322706,4,regime had high attribution in the model allocation for WLF012.
WLF012,dividend quality,0.04420539170319635,5,dividend quality had high attribution in the model allocation for WLF012.
WLF012,portfolio state,0.014490236423546675,6,portfolio state had high attribution in the model allocation for WLF012.
WLF012,distributional forecast,0.0017023219531999017,7,distributional forecast had high attribution in the model allocation for WLF012.
WLF012,volatility,0.0012534408412501763,8,volatility had high attribution in the model allocation for WLF012.
WLF012,temporal returns,0.0006978219385157478,9,temporal returns had high attribution in the model allocation for WLF012.
WLF012,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF012.
WLF012,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF012.
WLF012,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF012.
WLF015,liquidity,1457.7012338698964,1,liquidity had high attribution in the model allocation for WLF015.
WLF015,fundamentals,0.029643062718047824,2,fundamentals had high attribution in the model allocation for WLF015.
WLF015,regime,0.014386149486112275,3,regime had high attribution in the model allocation for WLF015.
WLF015,narrative,0.014160062652344822,4,narrative had high attribution in the model allocation for WLF015.
WLF015,dividend quality,0.014036652861902721,5,dividend quality had high attribution in the model allocation for WLF015.
WLF015,portfolio state,0.004699581782178725,6,portfolio state had high attribution in the model allocation for WLF015.
WLF015,distributional forecast,0.0005593507425723796,7,distributional forecast had high attribution in the model allocation for WLF015.
WLF015,volatility,0.0004008373713562278,8,volatility had high attribution in the model allocation for WLF015.
WLF015,temporal returns,0.0002660226239304347,9,temporal returns had high attribution in the model allocation for WLF015.
WLF015,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF015.
WLF015,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF015.
WLF015,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF015.
WLF005,liquidity,14075.860529344005,1,liquidity had high attribution in the model allocation for WLF005.
WLF005,fundamentals,0.35394959536050674,2,fundamentals had high attribution in the model allocation for WLF005.
WLF005,dividend quality,0.23477931301017388,3,dividend quality had high attribution in the model allocation for WLF005.
WLF005,narrative,0.21144347735546146,4,narrative had high attribution in the model allocation for WLF005.
WLF005,regime,0.15569076834507348,5,regime had high attribution in the model allocation for WLF005.
WLF005,portfolio state,0.06188198256190859,6,portfolio state had high attribution in the model allocation for WLF005.
WLF005,volatility,0.004711116176955613,7,volatility had high attribution in the model allocation for WLF005.
WLF005,distributional forecast,0.004700339217816477,8,distributional forecast had high attribution in the model allocation for WLF005.
WLF005,temporal returns,0.0017397361296122816,9,temporal returns had high attribution in the model allocation for WLF005.
WLF005,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF005.
WLF005,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF005.
WLF005,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF005.
WLF013,portfolio state,0.0,1,portfolio state had high attribution in the model allocation for WLF013.
WLF013,temporal returns,0.0,2,temporal returns had high attribution in the model allocation for WLF013.
WLF013,volatility,0.0,3,volatility had high attribution in the model allocation for WLF013.
WLF013,fundamentals,0.0,4,fundamentals had high attribution in the model allocation for WLF013.
WLF013,dividend quality,0.0,5,dividend quality had high attribution in the model allocation for WLF013.
WLF013,distributional forecast,0.0,6,distributional forecast had high attribution in the model allocation for WLF013.
WLF013,regime,0.0,7,regime had high attribution in the model allocation for WLF013.
WLF013,sentiment,0.0,8,sentiment had high attribution in the model allocation for WLF013.
WLF013,narrative,0.0,9,narrative had high attribution in the model allocation for WLF013.
WLF013,liquidity,0.0,10,liquidity had high attribution in the model allocation for WLF013.
WLF013,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF013.
WLF013,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF013.
WLF007,liquidity,12828.868948678188,1,liquidity had high attribution in the model allocation for WLF007.
WLF007,fundamentals,0.21412097398849556,2,fundamentals had high attribution in the model allocation for WLF007.
WLF007,narrative,0.1283465741387285,3,narrative had high attribution in the model allocation for WLF007.
WLF007,dividend quality,0.08886615697478746,4,dividend quality had high attribution in the model allocation for WLF007.
WLF007,regime,0.08139018923062395,5,regime had high attribution in the model allocation for WLF007.
WLF007,portfolio state,0.032652520967320714,6,portfolio state had high attribution in the model allocation for WLF007.
WLF007,volatility,0.0019502262915947184,7,volatility had high attribution in the model allocation for WLF007.
WLF007,temporal returns,0.0017695096163715723,8,temporal returns had high attribution in the model allocation for WLF007.
WLF007,distributional forecast,0.0015175996182636162,9,distributional forecast had high attribution in the model allocation for WLF007.
WLF007,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF007.
WLF007,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF007.
WLF007,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF007.
WLF014,liquidity,1745.1431453100506,1,liquidity had high attribution in the model allocation for WLF014.
WLF014,fundamentals,0.5932837731906713,2,fundamentals had high attribution in the model allocation for WLF014.
WLF014,dividend quality,0.30234298189494846,3,dividend quality had high attribution in the model allocation for WLF014.
WLF014,narrative,0.27721346236039,4,narrative had high attribution in the model allocation for WLF014.
WLF014,regime,0.19040978623971658,5,regime had high attribution in the model allocation for WLF014.
WLF014,portfolio state,0.08439427856440843,6,portfolio state had high attribution in the model allocation for WLF014.
WLF014,distributional forecast,0.009605136936434866,7,distributional forecast had high attribution in the model allocation for WLF014.
WLF014,volatility,0.0076257813935432985,8,volatility had high attribution in the model allocation for WLF014.
WLF014,temporal returns,0.0018434372211111338,9,temporal returns had high attribution in the model allocation for WLF014.
WLF014,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF014.
WLF014,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF014.
WLF014,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF014.
WLF017,portfolio state,0.0,1,portfolio state had high attribution in the model allocation for WLF017.
WLF017,temporal returns,0.0,2,temporal returns had high attribution in the model allocation for WLF017.
WLF017,volatility,0.0,3,volatility had high attribution in the model allocation for WLF017.
WLF017,fundamentals,0.0,4,fundamentals had high attribution in the model allocation for WLF017.
WLF017,dividend quality,0.0,5,dividend quality had high attribution in the model allocation for WLF017.
WLF017,distributional forecast,0.0,6,distributional forecast had high attribution in the model allocation for WLF017.
WLF017,regime,0.0,7,regime had high attribution in the model allocation for WLF017.
WLF017,sentiment,0.0,8,sentiment had high attribution in the model allocation for WLF017.
WLF017,narrative,0.0,9,narrative had high attribution in the model allocation for WLF017.
WLF017,liquidity,0.0,10,liquidity had high attribution in the model allocation for WLF017.
WLF017,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF017.
WLF017,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF017.
WLF011,portfolio state,0.0,1,portfolio state had high attribution in the model allocation for WLF011.
WLF011,temporal returns,0.0,2,temporal returns had high attribution in the model allocation for WLF011.
WLF011,volatility,0.0,3,volatility had high attribution in the model allocation for WLF011.
WLF011,fundamentals,0.0,4,fundamentals had high attribution in the model allocation for WLF011.
WLF011,dividend quality,0.0,5,dividend quality had high attribution in the model allocation for WLF011.
WLF011,distributional forecast,0.0,6,distributional forecast had high attribution in the model allocation for WLF011.
WLF011,regime,0.0,7,regime had high attribution in the model allocation for WLF011.
WLF011,sentiment,0.0,8,sentiment had high attribution in the model allocation for WLF011.
WLF011,narrative,0.0,9,narrative had high attribution in the model allocation for WLF011.
WLF011,liquidity,0.0,10,liquidity had high attribution in the model allocation for WLF011.
WLF011,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF011.
WLF011,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF011.
WLF009,liquidity,1321.0907702345094,1,liquidity had high attribution in the model allocation for WLF009.
WLF009,fundamentals,0.21145002760392206,2,fundamentals had high attribution in the model allocation for WLF009.
WLF009,dividend quality,0.11320562601609381,3,dividend quality had high attribution in the model allocation for WLF009.
WLF009,narrative,0.09624774769325992,4,narrative had high attribution in the model allocation for WLF009.
WLF009,regime,0.07592332781172408,5,regime had high attribution in the model allocation for WLF009.
WLF009,portfolio state,0.03194365538771657,6,portfolio state had high attribution in the model allocation for WLF009.
WLF009,distributional forecast,0.0023151371260541837,7,distributional forecast had high attribution in the model allocation for WLF009.
WLF009,volatility,0.0022095651257058617,8,volatility had high attribution in the model allocation for WLF009.
WLF009,temporal returns,0.0014903646055265374,9,temporal returns had high attribution in the model allocation for WLF009.
WLF009,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF009.
WLF009,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF009.
WLF009,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF009.
WLF002,liquidity,34848.65347367975,1,liquidity had high attribution in the model allocation for WLF002.
WLF002,fundamentals,0.6336762943419036,2,fundamentals had high attribution in the model allocation for WLF002.
WLF002,dividend quality,0.38685983331834634,3,dividend quality had high attribution in the model allocation for WLF002.
WLF002,narrative,0.34597863483284136,4,narrative had high attribution in the model allocation for WLF002.
WLF002,regime,0.28561643327608044,5,regime had high attribution in the model allocation for WLF002.
WLF002,portfolio state,0.10532900183417872,6,portfolio state had high attribution in the model allocation for WLF002.
WLF002,volatility,0.00866902534631765,7,volatility had high attribution in the model allocation for WLF002.
WLF002,distributional forecast,0.008652264678239215,8,distributional forecast had high attribution in the model allocation for WLF002.
WLF002,temporal returns,0.0003054820539889795,9,temporal returns had high attribution in the model allocation for WLF002.
WLF002,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF002.
WLF002,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF002.
WLF002,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF002.
WLF023,liquidity,52423.50818196892,1,liquidity had high attribution in the model allocation for WLF023.
WLF023,fundamentals,0.7844329361709246,2,fundamentals had high attribution in the model allocation for WLF023.
WLF023,narrative,0.4561862337915573,3,narrative had high attribution in the model allocation for WLF023.
WLF023,dividend quality,0.31083679000386816,4,dividend quality had high attribution in the model allocation for WLF023.
WLF023,regime,0.29653142526793513,5,regime had high attribution in the model allocation for WLF023.
WLF023,portfolio state,0.1408430835513877,6,portfolio state had high attribution in the model allocation for WLF023.
WLF023,volatility,0.010771701215495083,7,volatility had high attribution in the model allocation for WLF023.
WLF023,distributional forecast,0.010312147010086365,8,distributional forecast had high attribution in the model allocation for WLF023.
WLF023,temporal returns,0.0018236929389588961,9,temporal returns had high attribution in the model allocation for WLF023.
WLF023,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF023.
WLF023,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF023.
WLF023,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF023.
WLF004,liquidity,50969.94865455802,1,liquidity had high attribution in the model allocation for WLF004.
WLF004,fundamentals,0.6228723983283,2,fundamentals had high attribution in the model allocation for WLF004.
WLF004,narrative,0.5012179391041389,3,narrative had high attribution in the model allocation for WLF004.
WLF004,dividend quality,0.4332656432388541,4,dividend quality had high attribution in the model allocation for WLF004.
WLF004,regime,0.3989504899592486,5,regime had high attribution in the model allocation for WLF004.
WLF004,portfolio state,0.1449930628302203,6,portfolio state had high attribution in the model allocation for WLF004.
WLF004,distributional forecast,0.012929194264651979,7,distributional forecast had high attribution in the model allocation for WLF004.
WLF004,volatility,0.012240065312510132,8,volatility had high attribution in the model allocation for WLF004.
WLF004,temporal returns,0.0016988027784742184,9,temporal returns had high attribution in the model allocation for WLF004.
WLF004,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF004.
WLF004,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF004.
WLF004,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF004.
WLF020,liquidity,36720.015392900255,1,liquidity had high attribution in the model allocation for WLF020.
WLF020,fundamentals,0.6761730237851074,2,fundamentals had high attribution in the model allocation for WLF020.
WLF020,narrative,0.563097122072239,3,narrative had high attribution in the model allocation for WLF020.
WLF020,dividend quality,0.3807203671290335,4,dividend quality had high attribution in the model allocation for WLF020.
WLF020,regime,0.3351423288511851,5,regime had high attribution in the model allocation for WLF020.
WLF020,portfolio state,0.1268401561984849,6,portfolio state had high attribution in the model allocation for WLF020.
WLF020,distributional forecast,0.012313116999387785,7,distributional forecast had high attribution in the model allocation for WLF020.
WLF020,volatility,0.011395069707220793,8,volatility had high attribution in the model allocation for WLF020.
WLF020,temporal returns,0.0008154315403016417,9,temporal returns had high attribution in the model allocation for WLF020.
WLF020,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF020.
WLF020,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF020.
WLF020,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF020.
WLF008,portfolio state,0.0,1,portfolio state had high attribution in the model allocation for WLF008.
WLF008,temporal returns,0.0,2,temporal returns had high attribution in the model allocation for WLF008.
WLF008,volatility,0.0,3,volatility had high attribution in the model allocation for WLF008.
WLF008,fundamentals,0.0,4,fundamentals had high attribution in the model allocation for WLF008.
WLF008,dividend quality,0.0,5,dividend quality had high attribution in the model allocation for WLF008.
WLF008,distributional forecast,0.0,6,distributional forecast had high attribution in the model allocation for WLF008.
WLF008,regime,0.0,7,regime had high attribution in the model allocation for WLF008.
WLF008,sentiment,0.0,8,sentiment had high attribution in the model allocation for WLF008.
WLF008,narrative,0.0,9,narrative had high attribution in the model allocation for WLF008.
WLF008,liquidity,0.0,10,liquidity had high attribution in the model allocation for WLF008.
WLF008,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF008.
WLF008,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF008.
WLF001,liquidity,24643.496335995693,1,liquidity had high attribution in the model allocation for WLF001.
WLF001,fundamentals,0.7759246831224229,2,fundamentals had high attribution in the model allocation for WLF001.
WLF001,narrative,0.4514724720443618,3,narrative had high attribution in the model allocation for WLF001.
WLF001,dividend quality,0.2566941084077191,4,dividend quality had high attribution in the model allocation for WLF001.
WLF001,regime,0.1808893216368553,5,regime had high attribution in the model allocation for WLF001.
WLF001,portfolio state,0.11917475653330985,6,portfolio state had high attribution in the model allocation for WLF001.
WLF001,volatility,0.007266989803335303,7,volatility had high attribution in the model allocation for WLF001.
WLF001,distributional forecast,0.004547862348469177,8,distributional forecast had high attribution in the model allocation for WLF001.
WLF001,temporal returns,0.0007868163200404544,9,temporal returns had high attribution in the model allocation for WLF001.
WLF001,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF001.
WLF001,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF001.
WLF001,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF001.
WLF016,liquidity,72256.38962561569,1,liquidity had high attribution in the model allocation for WLF016.
WLF016,fundamentals,0.5438851556472044,2,fundamentals had high attribution in the model allocation for WLF016.
WLF016,narrative,0.4808860386657861,3,narrative had high attribution in the model allocation for WLF016.
WLF016,regime,0.3221279560968359,4,regime had high attribution in the model allocation for WLF016.
WLF016,dividend quality,0.2697316069899889,5,dividend quality had high attribution in the model allocation for WLF016.
WLF016,portfolio state,0.15192539388931217,6,portfolio state had high attribution in the model allocation for WLF016.
WLF016,distributional forecast,0.014253656441323176,7,distributional forecast had high attribution in the model allocation for WLF016.
WLF016,volatility,0.01175615636582346,8,volatility had high attribution in the model allocation for WLF016.
WLF016,temporal returns,0.007348062818708916,9,temporal returns had high attribution in the model allocation for WLF016.
WLF016,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF016.
WLF016,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF016.
WLF016,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF016.
WLF010,liquidity,40318.19262398303,1,liquidity had high attribution in the model allocation for WLF010.
WLF010,fundamentals,0.5722315568581853,2,fundamentals had high attribution in the model allocation for WLF010.
WLF010,narrative,0.5447020885761632,3,narrative had high attribution in the model allocation for WLF010.
WLF010,dividend quality,0.4589161385404086,4,dividend quality had high attribution in the model allocation for WLF010.
WLF010,regime,0.32488043773824166,5,regime had high attribution in the model allocation for WLF010.
WLF010,portfolio state,0.1499821767394495,6,portfolio state had high attribution in the model allocation for WLF010.
WLF010,distributional forecast,0.014806765576030407,7,distributional forecast had high attribution in the model allocation for WLF010.
WLF010,volatility,0.01207110226757207,8,volatility had high attribution in the model allocation for WLF010.
WLF010,temporal returns,0.006797473832724309,9,temporal returns had high attribution in the model allocation for WLF010.
WLF010,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF010.
WLF010,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF010.
WLF010,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF010.
