security_id,ticker,transition_order,from_state,intermediate_state,to_state,transition_probability,transition_count,window_days
WOLF005,WLF005,1,positive_stable,,governance_risk,0.5,1,180
WOLF005,WLF005,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF005,WLF005,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF005,WLF005,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF006,WLF006,1,credit_stress,,distress,1.0,1,180
WOLF006,WLF006,1,distress,,governance_risk,1.0,1,180
WOLF006,WLF006,1,governance_risk,,positive_stable,1.0,1,180
WOLF006,WLF006,1,positive_stable,,positive_stable,1.0,1,180
WOLF006,WLF006,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF006,WLF006,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF006,WLF006,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF007,WLF007,1,governance_risk,,credit_stress,0.5,1,180
WOLF007,WLF007,1,credit_stress,,distress,1.0,1,180
WOLF007,WLF007,1,distress,,governance_risk,1.0,1,180
WOLF007,WLF007,1,governance_risk,,positive_stable,0.5,1,180
WOLF007,WLF007,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF007,WLF007,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF007,WLF007,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF008,WLF008,1,positive_stable,,governance_risk,1.0,1,180
WOLF008,WLF008,1,governance_risk,,credit_stress,1.0,1,180
WOLF008,WLF008,1,credit_stress,,distress,1.0,1,180
WOLF008,WLF008,1,distress,,governance_risk,1.0,1,180
WOLF008,WLF008,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF008,WLF008,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF008,WLF008,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF009,WLF009,1,positive_stable,,positive_stable,0.5,1,180
WOLF009,WLF009,1,positive_stable,,governance_risk,0.5,1,180
WOLF009,WLF009,1,governance_risk,,credit_stress,1.0,1,180
WOLF009,WLF009,1,credit_stress,,distress,1.0,1,180
WOLF009,WLF009,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF009,WLF009,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF009,WLF009,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF010,WLF010,1,governance_risk,,positive_stable,0.5,1,180
WOLF010,WLF010,1,positive_stable,,positive_stable,0.5,1,180
WOLF010,WLF010,1,positive_stable,,governance_risk,0.5,1,180
WOLF010,WLF010,1,governance_risk,,credit_stress,0.5,1,180
WOLF010,WLF010,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF010,WLF010,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF010,WLF010,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF011,WLF011,1,distress,,governance_risk,1.0,1,180
WOLF011,WLF011,1,governance_risk,,positive_stable,1.0,1,180
WOLF011,WLF011,1,positive_stable,,positive_stable,0.5,1,180
WOLF011,WLF011,1,positive_stable,,governance_risk,0.5,1,180
WOLF011,WLF011,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF011,WLF011,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF011,WLF011,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF012,WLF012,1,credit_stress,,distress,1.0,1,180
WOLF012,WLF012,1,distress,,governance_risk,1.0,1,180
WOLF012,WLF012,1,governance_risk,,positive_stable,1.0,1,180
WOLF012,WLF012,1,positive_stable,,positive_stable,1.0,1,180
WOLF012,WLF012,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF012,WLF012,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF012,WLF012,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF013,WLF013,1,governance_risk,,credit_stress,0.5,1,180
WOLF013,WLF013,1,credit_stress,,distress,1.0,1,180
WOLF013,WLF013,1,distress,,governance_risk,1.0,1,180
WOLF013,WLF013,1,governance_risk,,positive_stable,0.5,1,180
WOLF013,WLF013,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF013,WLF013,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF013,WLF013,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF014,WLF014,1,positive_stable,,governance_risk,1.0,1,180
WOLF014,WLF014,1,governance_risk,,credit_stress,1.0,1,180
WOLF014,WLF014,1,credit_stress,,distress,1.0,1,180
WOLF014,WLF014,1,distress,,governance_risk,1.0,1,180
WOLF014,WLF014,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF014,WLF014,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF014,WLF014,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF015,WLF015,1,positive_stable,,positive_stable,0.5,1,180
WOLF015,WLF015,1,positive_stable,,governance_risk,0.5,1,180
WOLF015,WLF015,1,governance_risk,,credit_stress,1.0,1,180
WOLF015,WLF015,1,credit_stress,,distress,1.0,1,180
WOLF015,WLF015,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF015,WLF015,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF015,WLF015,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF016,WLF016,1,governance_risk,,positive_stable,0.5,1,180
WOLF016,WLF016,1,positive_stable,,positive_stable,0.5,1,180
WOLF016,WLF016,1,positive_stable,,governance_risk,0.5,1,180
WOLF016,WLF016,1,governance_risk,,credit_stress,0.5,1,180
WOLF016,WLF016,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF016,WLF016,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF016,WLF016,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF017,WLF017,1,distress,,governance_risk,1.0,1,180
WOLF017,WLF017,1,governance_risk,,positive_stable,1.0,1,180
WOLF017,WLF017,1,positive_stable,,positive_stable,0.5,1,180
WOLF017,WLF017,1,positive_stable,,governance_risk,0.5,1,180
WOLF017,WLF017,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF017,WLF017,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF017,WLF017,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF018,WLF018,1,credit_stress,,distress,1.0,1,180
WOLF018,WLF018,1,distress,,governance_risk,1.0,1,180
WOLF018,WLF018,1,governance_risk,,positive_stable,1.0,1,180
WOLF018,WLF018,1,positive_stable,,positive_stable,1.0,1,180
WOLF018,WLF018,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF018,WLF018,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF018,WLF018,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF019,WLF019,1,credit_stress,,distress,1.0,1,180
WOLF019,WLF019,1,distress,,governance_risk,1.0,1,180
WOLF019,WLF019,1,governance_risk,,positive_stable,1.0,1,180
WOLF019,WLF019,1,positive_stable,,governance_risk,1.0,1,180
WOLF019,WLF019,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF019,WLF019,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF019,WLF019,2,governance_risk,positive_stable,governance_risk,1.0,1,180
WOLF020,WLF020,1,governance_risk,,credit_stress,0.5,1,180
WOLF020,WLF020,1,credit_stress,,distress,1.0,1,180
WOLF020,WLF020,1,distress,,governance_risk,1.0,1,180
WOLF020,WLF020,1,governance_risk,,positive_stable,0.5,1,180
WOLF020,WLF020,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF020,WLF020,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF020,WLF020,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF021,WLF021,1,positive_stable,,governance_risk,1.0,1,180
WOLF021,WLF021,1,governance_risk,,credit_stress,1.0,1,180
WOLF021,WLF021,1,credit_stress,,distress,1.0,1,180
WOLF021,WLF021,1,distress,,positive_stable,1.0,1,180
WOLF021,WLF021,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF021,WLF021,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF021,WLF021,2,credit_stress,distress,positive_stable,1.0,1,180
WOLF022,WLF022,1,positive_stable,,positive_stable,0.5,1,180
WOLF022,WLF022,1,positive_stable,,governance_risk,0.5,1,180
WOLF022,WLF022,1,governance_risk,,credit_stress,1.0,1,180
WOLF022,WLF022,1,credit_stress,,governance_risk,1.0,1,180
WOLF022,WLF022,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF022,WLF022,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF022,WLF022,2,governance_risk,credit_stress,governance_risk,1.0,1,180
WOLF023,WLF023,1,positive_stable,,positive_stable,0.5,1,180
WOLF023,WLF023,1,positive_stable,,governance_risk,0.5,1,180
WOLF023,WLF023,1,governance_risk,,distress,1.0,1,180
WOLF023,WLF023,1,distress,,governance_risk,1.0,1,180
WOLF023,WLF023,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF023,WLF023,2,positive_stable,governance_risk,distress,1.0,1,180
WOLF023,WLF023,2,governance_risk,distress,governance_risk,1.0,1,180
WOLF024,WLF024,1,governance_risk,,positive_stable,1.0,1,180
WOLF024,WLF024,1,positive_stable,,positive_stable,0.5,1,180
WOLF024,WLF024,1,positive_stable,,credit_stress,0.5,1,180
WOLF024,WLF024,1,credit_stress,,distress,1.0,1,180
WOLF024,WLF024,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF024,WLF024,2,positive_stable,positive_stable,credit_stress,1.0,1,180
WOLF024,WLF024,2,positive_stable,credit_stress,distress,1.0,1,180
