document_id,security_id,sentiment_score,positive_score,negative_score,neutral_score,uncertainty_score,management_confidence_score,dividend_language_score,cashflow_language_score,regulatory_risk_score,litigation_risk_score,governance_risk_score,credit_stress_score,model_name,model_version
DOC-020-3,WOLF020,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-021-1,WOLF021,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-021-2,WOLF021,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-021-3,WOLF021,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-022-1,WOLF022,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-022-2,WOLF022,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-022-3,WOLF022,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-023-1,WOLF023,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-023-2,WOLF023,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-023-3,WOLF023,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-024-1,WOLF024,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-024-2,WOLF024,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-024-3,WOLF024,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
