ticker,company_name,portfolio_aware_recommendation,clean_sheet_recommendation,llm_recommendation,branch_classification,recommendation_agreement,score_dispersion,portfolio_aware_rank,clean_sheet_rank,llm_score,disagreement_flag,final_review_required,target_weight_portfolio_aware,clean_sheet_target_weight,passes_hard_filters,dividend_safety_score,cash_flow_quality_score,balance_sheet_strength_score,final_recommendation_score,risk_management_flags,final_recommendation,final_target_weight,confidence_adjustment,baseline_weight,raw_drl_weight,projected_drl_weight,accepted_target_weight,acceptance_selected_weights_source,drl_challenger_status,final_selected_weights_source,drl_rejection_reasons,final_selected_weight
0003.HK,Hong Kong and China Gas Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,19.929475546463813,913.0,838.0,40.07692022517276,False,False,0.0,0.0,False,45.04414618038454,59.1228913369854,33.794883304712776,49.41341849837989,alt_data_review;narrative_review;ml_dividend_cut_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000333.SHE,Midea Group Co Ltd,Buy,Buy,Hold,Reject,0.6666666666666666,4.0116718282046495,3.0,3.0,66.93719245179113,True,True,0.05,0.05,True,66.60926512986634,63.39903187461339,94.77432546976944,71.40586758194387,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.047500000000000014,0.047500000000000014,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.049999999999999996
000338.SHE,Weichai Power Co Ltd Class A,Buy,Avoid,Hold,Portfolio-Aware Only,0.3333333333333333,20.45319347349816,285.0,676.0,52.72808967855642,True,True,0.05,0.0,True,58.421276537474114,67.43732807789337,79.73159733536234,64.0,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Hold,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
0004.HK,Wharf Holdings,Avoid,Avoid,Avoid,Reject,1.0,26.538661417050186,813.0,916.0,50.05951859189739,False,False,0.0,0.0,False,39.40055636673148,68.40012536708036,44.59330626708633,54.06505955714954,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000408.SHE,Zangge Holding Co Ltd,Hold,Avoid,Hold,Reject,0.6666666666666666,32.915101754420775,762.0,1019.0,55.3088890927148,True,True,0.0,0.0,True,53.295377419400175,44.84831673710366,93.66443487396822,57.855813294301086,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Watchlist,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000425.SHE,XCMG Construction Machinery Co Ltd,Buy,Avoid,Hold,Portfolio-Aware Only,0.3333333333333333,15.955762322432806,158.0,485.0,56.677098983127806,True,True,0.05,0.0,True,70.76656791006363,61.77598226381488,61.8019026773054,64.0,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Hold,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
0005.HK,HSBC Holdings PLC,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,10.314241511102274,216.0,294.0,54.9356835255259,True,True,0.05,0.0,True,64.89028073617709,75.69011583704702,42.50712758374911,59.07623430701032,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000538.SHE,Yunnan Baiyao Group Co Ltd,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,4.040731266109134,324.0,30.0,58.24708875084165,True,True,0.0336499596124809,0.0,True,48.41375274812248,55.05068725013675,95.68847056978876,62.0683123848469,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.047500000000000014,0.047500000000000014,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.049999999999999996
000559.SHE,Wanxiang Qianchao Co Ltd,Hold,Avoid,Avoid,Reject,0.6666666666666666,26.67646003608326,1076.0,1061.0,41.63501728695286,True,True,0.0,0.0,True,39.74485627725076,54.8118298151588,75.88821822683725,51.453067633642,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Watchlist,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000568.SHE,Luzhou Lao Jiao Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,11.341858275949209,434.0,358.0,62.54964633527983,False,False,0.0,0.0,False,59.15407958229616,51.17696519727728,98.31001961146497,64.0,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000596.SHE,Anhui Gujing Distillery Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,28.743385636654043,938.0,1036.0,44.66580431770121,False,False,0.0,0.0,False,48.03579046200511,27.477896262441732,98.97141888633452,54.30454862171935,alt_data_review;narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
0006.HK,Power Assets,Avoid,Avoid,Avoid,Reject,1.0,20.18080487910106,988.0,870.0,40.56091631268484,False,False,0.0,0.0,False,33.75506647183663,32.46477065122975,90.95793426086549,49.44074828785995,alt_data_review;narrative_review;regime_review;ml_dividend_cut_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000617.SHE,CNPC Capital Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,22.32422500385302,1250.0,1237.0,24.057847804791862,False,False,0.0,0.0,False,36.63143753223781,7.732647172529362,42.50712758374911,41.51637144654118,narrative_review;narrative_exclusion;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000625.SHE,Chongqing Changan Automobile Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,22.836533868427008,797.0,865.0,45.32432480842373,False,False,0.0,0.0,False,52.03916764300547,13.764517741277665,86.65942905494263,53.82538125957456,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000630.SHE,Tongling Nonferrous Metals Group Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,23.40625359206463,1218.0,1152.0,31.835813488119683,False,False,0.0,0.0,False,31.058477459748318,11.642616191088678,65.02218259940585,45.71639448279517,narrative_review;narrative_exclusion;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000651.SHE,Gree Electric Appliances Inc of Zhuhai,Avoid,Avoid,Avoid,Reject,1.0,5.045956459912434,75.0,1.0,65.39810543669499,False,False,0.0,0.0,False,59.62439081575276,85.1634405598862,89.57455741607833,64.0,narrative_review;narrative_exclusion;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000708.SHE,CITIC Pacific Special Steel Group Co Ltd,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,10.018975901871382,230.0,254.0,51.03285077767053,True,True,0.0469621196826938,0.0,True,53.10334835679652,77.73924197092313,63.42140630757405,63.232434496467256,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Hold,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000776.SHE,GF Securities Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,22.188583339308952,1256.0,1314.0,21.825131288067297,False,False,0.0,0.0,False,40.15526628498517,7.49162523857556,42.50712758374911,37.33544897012136,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000783.SHE,Changjiang Securities Co Ltd,Hold,Avoid,Avoid,Reject,0.6666666666666666,29.27365598192106,858.0,1084.0,41.90931425940063,True,True,0.0,0.0,True,57.42030729340535,42.69218729986316,42.50712758374911,49.73334893776864,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Watchlist,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
0008.HK,PCCW Limited,Avoid,Avoid,Avoid,Reject,1.0,26.49033604087721,1002.0,1221.0,35.472008909378964,False,False,0.0,0.0,False,52.24672695640063,56.71737592842258,6.27408348055985,42.11253149933168,liquidity_stress;narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000807.SHE,Yunnan Aluminium Co Ltd,Buy,Avoid,Hold,Portfolio-Aware Only,0.3333333333333333,19.08517376157747,144.0,564.0,59.686124016622784,True,True,0.05,0.0,True,72.17736041212538,63.10913511673623,98.34716168679016,64.0,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Hold,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000858.SHE,Wuliangye Yibin Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,3.330974824825228,228.0,56.0,62.40187287460627,False,False,0.0,0.0,False,64.20365247765413,84.443598078648,90.03445041916461,64.0,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000878.SHE,Yunnan Copper Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,18.785474460646306,1358.0,1353.0,15.38973377700745,False,False,0.0,0.0,False,20.53534810315248,10.245587007305913,17.315304193561552,33.65687557235077,narrative_review;narrative_exclusion;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000895.SHE,Henan Shuanghui Investment & Development Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,3.7932956566792826,455.0,75.0,56.724910388396125,False,False,0.0,0.0,False,51.82675727515809,68.50893190619274,88.2112038511649,62.61810821980111,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000933.SHE,Henan Shenhuo Coal & Power Co Ltd,Buy,Avoid,Hold,Portfolio-Aware Only,0.3333333333333333,17.885908324261262,264.0,572.0,55.60528540188673,True,True,0.05,0.0,True,55.26794721329574,72.47098722801839,88.52291354413855,64.0,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Hold,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000958.SHE,SPIC Dongfang New Energy Corp,Avoid,Avoid,Avoid,Reject,1.0,20.16696037060856,1323.0,1346.0,22.388234834585347,False,False,0.0,0.0,False,26.469155858334613,18.657349928822143,15.293501527607956,34.26994864517821,narrative_review;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000960.SHE,Yunnan Tin Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,25.58157187187001,1087.0,1082.0,36.551659902873325,False,False,0.0,0.0,False,44.10563886140494,22.703740829865595,66.18969526210957,49.94148090753353,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000963.SHE,Huadong Medicine Co Ltd,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,9.675800360771603,164.0,255.0,59.72823270074811,True,True,0.0459119026307033,0.0,True,68.71202301455546,55.400507621592695,96.21623679587948,64.0,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Hold,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
