document_id,security_id,ticker,concept_id,concept_text,concept_category,concept_polarity,concept_severity,concept_confidence,publication_timestamp,source_type
NARR-004-4,WOLF004,WLF004,NARR-004-4-resilient_demand,resilient demand,demand,positive,35,80,2026-05-05,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-margin_expansion,margin expansion,margin,positive,35,80,2026-05-05,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-guidance_raised,guidance raised,guidance,positive,40,80,2026-05-05,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-share_buyback,share buyback,buyback,positive,35,80,2026-05-05,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-major_contract_win,major contract win,order_book,positive,40,80,2026-05-05,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-pricing_power,pricing power,pricing_power,positive,35,80,2026-05-05,news
NARR-004-5,WOLF004,WLF004,NARR-004-5-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-04-14,news
NARR-004-5,WOLF004,WLF004,NARR-004-5-annual_report_released,annual report released,growth,neutral,20,80,2026-04-14,news
NARR-004-5,WOLF004,WLF004,NARR-004-5-board_meeting_update,board meeting update,management,neutral,20,80,2026-04-14,news
NARR-004-5,WOLF004,WLF004,NARR-004-5-quarterly_trading_update,quarterly trading update,growth,neutral,20,80,2026-04-14,news
NARR-005-1,WOLF005,WLF005,NARR-005-1-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-07-02,news
NARR-005-1,WOLF005,WLF005,NARR-005-1-litigation_risk,litigation risk,litigation,negative,80,80,2026-07-02,news
NARR-005-1,WOLF005,WLF005,NARR-005-1-governance_concern,governance concern,governance,negative,85,80,2026-07-02,news
NARR-005-1,WOLF005,WLF005,NARR-005-1-management_resignation,management resignation,management,negative,75,80,2026-07-02,news
NARR-005-2,WOLF005,WLF005,NARR-005-2-dividend_increase,dividend increase,dividend,positive,45,80,2026-06-11,news
NARR-005-2,WOLF005,WLF005,NARR-005-2-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-06-11,news
NARR-005-2,WOLF005,WLF005,NARR-005-2-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-06-11,news
NARR-005-2,WOLF005,WLF005,NARR-005-2-cash_flow,cash flow,cash_flow,positive,35,80,2026-06-11,news
NARR-005-2,WOLF005,WLF005,NARR-005-2-deleveraging,deleveraging,debt,positive,35,80,2026-06-11,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-dividend_increase,dividend increase,dividend,positive,45,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-cash_flow,cash flow,cash_flow,positive,35,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-resilient_demand,resilient demand,demand,positive,35,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-margin_expansion,margin expansion,margin,positive,35,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-guidance_raised,guidance raised,guidance,positive,40,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-share_buyback,share buyback,buyback,positive,35,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-major_contract_win,major contract win,order_book,positive,40,80,2026-05-21,news
NARR-005-3,WOLF005,WLF005,NARR-005-3-pricing_power,pricing power,pricing_power,positive,35,80,2026-05-21,news
NARR-005-4,WOLF005,WLF005,NARR-005-4-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-04-30,news
NARR-005-4,WOLF005,WLF005,NARR-005-4-annual_report_released,annual report released,growth,neutral,20,80,2026-04-30,news
NARR-005-4,WOLF005,WLF005,NARR-005-4-board_meeting_update,board meeting update,management,neutral,20,80,2026-04-30,news
NARR-005-4,WOLF005,WLF005,NARR-005-4-quarterly_trading_update,quarterly trading update,growth,neutral,20,80,2026-04-30,news
NARR-005-5,WOLF005,WLF005,NARR-005-5-weak_demand,weak demand,demand,negative,70,80,2026-04-09,analyst_commentary
NARR-005-5,WOLF005,WLF005,NARR-005-5-margin_pressure,margin pressure,margin,negative,70,80,2026-04-09,analyst_commentary
NARR-005-5,WOLF005,WLF005,NARR-005-5-guidance_cut,guidance cut,guidance,negative,75,80,2026-04-09,analyst_commentary
NARR-005-5,WOLF005,WLF005,NARR-005-5-profit_warning,profit warning,profit_warning,negative,85,80,2026-04-09,analyst_commentary
NARR-005-5,WOLF005,WLF005,NARR-005-5-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-04-09,analyst_commentary
NARR-006-1,WOLF006,WLF006,NARR-006-1-dividend_increase,dividend increase,dividend,positive,45,80,2026-06-27,news
NARR-006-1,WOLF006,WLF006,NARR-006-1-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-06-27,news
NARR-006-1,WOLF006,WLF006,NARR-006-1-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-06-27,news
NARR-006-1,WOLF006,WLF006,NARR-006-1-cash_flow,cash flow,cash_flow,positive,35,80,2026-06-27,news
NARR-006-1,WOLF006,WLF006,NARR-006-1-deleveraging,deleveraging,debt,positive,35,80,2026-06-27,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-dividend_increase,dividend increase,dividend,positive,45,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-cash_flow,cash flow,cash_flow,positive,35,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-resilient_demand,resilient demand,demand,positive,35,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-margin_expansion,margin expansion,margin,positive,35,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-guidance_raised,guidance raised,guidance,positive,40,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-share_buyback,share buyback,buyback,positive,35,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-major_contract_win,major contract win,order_book,positive,40,80,2026-06-06,news
NARR-006-2,WOLF006,WLF006,NARR-006-2-pricing_power,pricing power,pricing_power,positive,35,80,2026-06-06,news
NARR-006-3,WOLF006,WLF006,NARR-006-3-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-05-16,news
NARR-006-3,WOLF006,WLF006,NARR-006-3-annual_report_released,annual report released,growth,neutral,20,80,2026-05-16,news
NARR-006-3,WOLF006,WLF006,NARR-006-3-board_meeting_update,board meeting update,management,neutral,20,80,2026-05-16,news
NARR-006-3,WOLF006,WLF006,NARR-006-3-quarterly_trading_update,quarterly trading update,growth,neutral,20,80,2026-05-16,news
NARR-006-4,WOLF006,WLF006,NARR-006-4-weak_demand,weak demand,demand,negative,70,80,2026-04-25,analyst_commentary
NARR-006-4,WOLF006,WLF006,NARR-006-4-margin_pressure,margin pressure,margin,negative,70,80,2026-04-25,analyst_commentary
NARR-006-4,WOLF006,WLF006,NARR-006-4-guidance_cut,guidance cut,guidance,negative,75,80,2026-04-25,analyst_commentary
NARR-006-4,WOLF006,WLF006,NARR-006-4-profit_warning,profit warning,profit_warning,negative,85,80,2026-04-25,analyst_commentary
NARR-006-4,WOLF006,WLF006,NARR-006-4-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-04-25,analyst_commentary
NARR-006-5,WOLF006,WLF006,NARR-006-5-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-04-04,news
NARR-006-5,WOLF006,WLF006,NARR-006-5-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-04-04,news
NARR-006-5,WOLF006,WLF006,NARR-006-5-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-04-04,news
NARR-006-5,WOLF006,WLF006,NARR-006-5-impairment,impairment,impairment,negative,75,80,2026-04-04,news
NARR-006-5,WOLF006,WLF006,NARR-006-5-distress,distress,distress,negative,90,80,2026-04-04,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-dividend_increase,dividend increase,dividend,positive,45,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-cash_flow,cash flow,cash_flow,positive,35,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-resilient_demand,resilient demand,demand,positive,35,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-margin_expansion,margin expansion,margin,positive,35,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-guidance_raised,guidance raised,guidance,positive,40,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-share_buyback,share buyback,buyback,positive,35,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-major_contract_win,major contract win,order_book,positive,40,80,2026-06-22,news
NARR-007-1,WOLF007,WLF007,NARR-007-1-pricing_power,pricing power,pricing_power,positive,35,80,2026-06-22,news
NARR-007-2,WOLF007,WLF007,NARR-007-2-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-06-01,news
NARR-007-2,WOLF007,WLF007,NARR-007-2-annual_report_released,annual report released,growth,neutral,20,80,2026-06-01,news
NARR-007-2,WOLF007,WLF007,NARR-007-2-board_meeting_update,board meeting update,management,neutral,20,80,2026-06-01,news
NARR-007-2,WOLF007,WLF007,NARR-007-2-quarterly_trading_update,quarterly trading update,growth,neutral,20,80,2026-06-01,news
NARR-007-3,WOLF007,WLF007,NARR-007-3-weak_demand,weak demand,demand,negative,70,80,2026-05-11,analyst_commentary
NARR-007-3,WOLF007,WLF007,NARR-007-3-margin_pressure,margin pressure,margin,negative,70,80,2026-05-11,analyst_commentary
NARR-007-3,WOLF007,WLF007,NARR-007-3-guidance_cut,guidance cut,guidance,negative,75,80,2026-05-11,analyst_commentary
NARR-007-3,WOLF007,WLF007,NARR-007-3-profit_warning,profit warning,profit_warning,negative,85,80,2026-05-11,analyst_commentary
NARR-007-3,WOLF007,WLF007,NARR-007-3-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-05-11,analyst_commentary
NARR-007-4,WOLF007,WLF007,NARR-007-4-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-04-20,news
NARR-007-4,WOLF007,WLF007,NARR-007-4-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-04-20,news
NARR-007-4,WOLF007,WLF007,NARR-007-4-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-04-20,news
NARR-007-4,WOLF007,WLF007,NARR-007-4-impairment,impairment,impairment,negative,75,80,2026-04-20,news
NARR-007-4,WOLF007,WLF007,NARR-007-4-distress,distress,distress,negative,90,80,2026-04-20,news
NARR-007-5,WOLF007,WLF007,NARR-007-5-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-03-30,news
NARR-007-5,WOLF007,WLF007,NARR-007-5-litigation_risk,litigation risk,litigation,negative,80,80,2026-03-30,news
NARR-007-5,WOLF007,WLF007,NARR-007-5-governance_concern,governance concern,governance,negative,85,80,2026-03-30,news
NARR-007-5,WOLF007,WLF007,NARR-007-5-management_resignation,management resignation,management,negative,75,80,2026-03-30,news
NARR-008-1,WOLF008,WLF008,NARR-008-1-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-06-17,news
NARR-008-1,WOLF008,WLF008,NARR-008-1-annual_report_released,annual report released,growth,neutral,20,80,2026-06-17,news
NARR-008-1,WOLF008,WLF008,NARR-008-1-board_meeting_update,board meeting update,management,neutral,20,80,2026-06-17,news
NARR-008-1,WOLF008,WLF008,NARR-008-1-quarterly_trading_update,quarterly trading update,growth,neutral,20,80,2026-06-17,news
NARR-008-2,WOLF008,WLF008,NARR-008-2-weak_demand,weak demand,demand,negative,70,80,2026-05-27,analyst_commentary
NARR-008-2,WOLF008,WLF008,NARR-008-2-margin_pressure,margin pressure,margin,negative,70,80,2026-05-27,analyst_commentary
NARR-008-2,WOLF008,WLF008,NARR-008-2-guidance_cut,guidance cut,guidance,negative,75,80,2026-05-27,analyst_commentary
NARR-008-2,WOLF008,WLF008,NARR-008-2-profit_warning,profit warning,profit_warning,negative,85,80,2026-05-27,analyst_commentary
NARR-008-2,WOLF008,WLF008,NARR-008-2-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-05-27,analyst_commentary
NARR-008-3,WOLF008,WLF008,NARR-008-3-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-05-06,news
NARR-008-3,WOLF008,WLF008,NARR-008-3-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-05-06,news
NARR-008-3,WOLF008,WLF008,NARR-008-3-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-05-06,news
NARR-008-3,WOLF008,WLF008,NARR-008-3-impairment,impairment,impairment,negative,75,80,2026-05-06,news
NARR-008-3,WOLF008,WLF008,NARR-008-3-distress,distress,distress,negative,90,80,2026-05-06,news
NARR-008-4,WOLF008,WLF008,NARR-008-4-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-04-15,news
NARR-008-4,WOLF008,WLF008,NARR-008-4-litigation_risk,litigation risk,litigation,negative,80,80,2026-04-15,news
NARR-008-4,WOLF008,WLF008,NARR-008-4-governance_concern,governance concern,governance,negative,85,80,2026-04-15,news
NARR-008-4,WOLF008,WLF008,NARR-008-4-management_resignation,management resignation,management,negative,75,80,2026-04-15,news
NARR-008-5,WOLF008,WLF008,NARR-008-5-dividend_increase,dividend increase,dividend,positive,45,80,2026-03-25,news
NARR-008-5,WOLF008,WLF008,NARR-008-5-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-03-25,news
NARR-008-5,WOLF008,WLF008,NARR-008-5-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-03-25,news
NARR-008-5,WOLF008,WLF008,NARR-008-5-cash_flow,cash flow,cash_flow,positive,35,80,2026-03-25,news
NARR-008-5,WOLF008,WLF008,NARR-008-5-deleveraging,deleveraging,debt,positive,35,80,2026-03-25,news
NARR-009-1,WOLF009,WLF009,NARR-009-1-weak_demand,weak demand,demand,negative,70,80,2026-06-12,analyst_commentary
NARR-009-1,WOLF009,WLF009,NARR-009-1-margin_pressure,margin pressure,margin,negative,70,80,2026-06-12,analyst_commentary
NARR-009-1,WOLF009,WLF009,NARR-009-1-guidance_cut,guidance cut,guidance,negative,75,80,2026-06-12,analyst_commentary
NARR-009-1,WOLF009,WLF009,NARR-009-1-profit_warning,profit warning,profit_warning,negative,85,80,2026-06-12,analyst_commentary
NARR-009-1,WOLF009,WLF009,NARR-009-1-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-06-12,analyst_commentary
NARR-009-2,WOLF009,WLF009,NARR-009-2-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-05-22,news
NARR-009-2,WOLF009,WLF009,NARR-009-2-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-05-22,news
NARR-009-2,WOLF009,WLF009,NARR-009-2-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-05-22,news
NARR-009-2,WOLF009,WLF009,NARR-009-2-impairment,impairment,impairment,negative,75,80,2026-05-22,news
NARR-009-2,WOLF009,WLF009,NARR-009-2-distress,distress,distress,negative,90,80,2026-05-22,news
NARR-009-3,WOLF009,WLF009,NARR-009-3-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-05-01,news
NARR-009-3,WOLF009,WLF009,NARR-009-3-litigation_risk,litigation risk,litigation,negative,80,80,2026-05-01,news
NARR-009-3,WOLF009,WLF009,NARR-009-3-governance_concern,governance concern,governance,negative,85,80,2026-05-01,news
